Sub Capa 1,Sub Capa 2,Sub Capa 3,Loss,Optimizer
sigmod,relu,sigmod,mean_squared_error,adam
sigmod,relu,sigmod,mean_squared_error,rmsprop
sigmod,relu,tanh,categorical_crossentropy,adam
sigmod,relu,tanh,categorical_crossentropy,rmsprop
sigmod,relu,tanh,mean_squared_error,adam
sigmod,relu,tanh,mean_squared_error,rmsprop
sigmod,sigmod,linear,categorical_crossentropy,adam
sigmod,sigmod,linear,categorical_crossentropy,rmsprop
sigmod,sigmod,linear,mean_squared_error,adam
sigmod,sigmod,linear,mean_squared_error,rmsprop
sigmod,sigmod,relu,categorical_crossentropy,adam
sigmod,sigmod,relu,categorical_crossentropy,rmsprop
sigmod,sigmod,relu,mean_squared_error,adam
sigmod,sigmod,relu,mean_squared_error,rmsprop
sigmod,sigmod,sigmod,categorical_crossentropy,adam
sigmod,sigmod,sigmod,categorical_crossentropy,rmsprop
sigmod,sigmod,sigmod,mean_squared_error,adam
sigmod,sigmod,sigmod,mean_squared_error,rmsprop
sigmod,sigmod,tanh,categorical_crossentropy,adam
sigmod,sigmod,tanh,categorical_crossentropy,rmsprop
sigmod,sigmod,tanh,mean_squared_error,adam
sigmod,sigmod,tanh,mean_squared_error,rmsprop
sigmod,tanh,linear,categorical_crossentropy,adam
sigmod,tanh,linear,categorical_crossentropy,rmsprop
sigmod,tanh,linear,mean_squared_error,adam
sigmod,tanh,linear,mean_squared_error,rmsprop
sigmod,tanh,relu,categorical_crossentropy,adam
sigmod,tanh,relu,categorical_crossentropy,rmsprop
sigmod,tanh,relu,mean_squared_error,adam
sigmod,tanh,relu,mean_squared_error,rmsprop
sigmod,tanh,sigmod,categorical_crossentropy,adam
sigmod,tanh,sigmod,categorical_crossentropy,rmsprop
sigmod,tanh,sigmod,mean_squared_error,adam
sigmod,tanh,sigmod,mean_squared_error,rmsprop
sigmod,tanh,tanh,categorical_crossentropy,adam
sigmod,tanh,tanh,categorical_crossentropy,rmsprop
sigmod,tanh,tanh,mean_squared_error,adam
sigmod,tanh,tanh,mean_squared_error,rmsprop
tanh,linear,linear,categorical_crossentropy,adam
tanh,linear,linear,categorical_crossentropy,rmsprop
tanh,linear,linear,mean_squared_error,adam
tanh,linear,linear,mean_squared_error,rmsprop
tanh,linear,relu,categorical_crossentropy,adam
tanh,linear,relu,categorical_crossentropy,rmsprop
tanh,linear,relu,mean_squared_error,adam
tanh,linear,relu,mean_squared_error,rmsprop
tanh,linear,sigmod,categorical_crossentropy,adam
tanh,linear,sigmod,categorical_crossentropy,rmsprop
tanh,linear,sigmod,mean_squared_error,adam
tanh,linear,sigmod,mean_squared_error,rmsprop
tanh,linear,tanh,categorical_crossentropy,adam
tanh,linear,tanh,categorical_crossentropy,rmsprop
tanh,linear,tanh,mean_squared_error,adam
tanh,linear,tanh,mean_squared_error,rmsprop
tanh,relu,linear,categorical_crossentropy,adam
tanh,relu,linear,categorical_crossentropy,rmsprop
tanh,relu,linear,mean_squared_error,adam
tanh,relu,linear,mean_squared_error,rmsprop
tanh,relu,relu,categorical_crossentropy,adam
tanh,relu,relu,categorical_crossentropy,rmsprop
tanh,relu,relu,mean_squared_error,adam
tanh,relu,relu,mean_squared_error,rmsprop
tanh,relu,sigmod,categorical_crossentropy,adam
tanh,relu,sigmod,categorical_crossentropy,rmsprop
tanh,relu,sigmod,mean_squared_error,adam
tanh,relu,sigmod,mean_squared_error,rmsprop
tanh,relu,tanh,categorical_crossentropy,adam
tanh,relu,tanh,categorical_crossentropy,rmsprop
tanh,relu,tanh,mean_squared_error,adam
tanh,relu,tanh,mean_squared_error,rmsprop
tanh,sigmod,linear,categorical_crossentropy,adam
tanh,sigmod,linear,categorical_crossentropy,rmsprop
tanh,sigmod,linear,mean_squared_error,adam
tanh,sigmod,linear,mean_squared_error,rmsprop
tanh,sigmod,relu,categorical_crossentropy,adam
tanh,sigmod,relu,categorical_crossentropy,rmsprop
tanh,sigmod,relu,mean_squared_error,adam
tanh,sigmod,relu,mean_squared_error,rmsprop
tanh,sigmod,sigmod,categorical_crossentropy,adam
tanh,sigmod,sigmod,categorical_crossentropy,rmsprop
tanh,sigmod,sigmod,mean_squared_error,adam
tanh,sigmod,sigmod,mean_squared_error,rmsprop
tanh,sigmod,tanh,categorical_crossentropy,adam
tanh,sigmod,tanh,categorical_crossentropy,rmsprop
tanh,sigmod,tanh,mean_squared_error,adam
tanh,sigmod,tanh,mean_squared_error,rmsprop
tanh,tanh,linear,categorical_crossentropy,adam
tanh,tanh,linear,categorical_crossentropy,rmsprop
tanh,tanh,linear,mean_squared_error,adam
tanh,tanh,linear,mean_squared_error,rmsprop
tanh,tanh,relu,categorical_crossentropy,adam
tanh,tanh,relu,categorical_crossentropy,rmsprop
tanh,tanh,relu,mean_squared_error,adam
tanh,tanh,relu,mean_squared_error,rmsprop
tanh,tanh,sigmod,categorical_crossentropy,adam
tanh,tanh,sigmod,categorical_crossentropy,rmsprop
tanh,tanh,sigmod,mean_squared_error,adam
tanh,tanh,sigmod,mean_squared_error,rmsprop
tanh,tanh,tanh,categorical_crossentropy,adam
tanh,tanh,tanh,categorical_crossentropy,rmsprop
tanh,tanh,tanh,mean_squared_error,adam
tanh,tanh,tanh,mean_squared_error,rmsprop
